# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTimeMaxNs,1774282198792000000,1774282258877000000,0
NonBlockingReadAction.failedExecutionsCount,1774282198792000000,1774282258877000000,6
AWTEventQueue.eventsDispatched,1774282198792000000,1774282258877000000,0
WriteAction.executionsCount,1774282198792000000,1774282258877000000,49
FlushQueue.executionTimeMaxNs,1774282198792000000,1774282258877000000,0
FlushQueue.executionTimeAvgNs,1774282198792000000,1774282258877000000,0.0
ReadAction.executionsCount,1774282198792000000,1774282258877000000,879317
FlushQueue.queueSizeAvg,1774282198792000000,1774282258877000000,0.0
FlushQueue.tasksExecuted,1774282198792000000,1774282258877000000,0
NonBlockingReadAction.finalizedExecutionsCount,1774282198792000000,1774282258877000000,94
NonBlockingReadAction.finalizedExecutionTimeUs,1774282198792000000,1774282258877000000,697491
AWTEventQueue.dispatchTime90PNs,1774282198792000000,1774282258877000000,0
AWTEventQueue.dispatchTimeAvgNs,1774282198792000000,1774282258877000000,0.0
FlushQueue.queueSizeMax,1774282198792000000,1774282258877000000,0
FlushQueue.executionTime90PNs,1774282198792000000,1774282258877000000,0
AWTEventQueue.dispatchTimeMaxNs,1774282198792000000,1774282258877000000,0
FlushQueue.queueSize90P,1774282198792000000,1774282258877000000,0
FlushQueue.waitingTime90PNs,1774282198792000000,1774282258877000000,0
FlushQueue.waitingTimeAvgNs,1774282198792000000,1774282258877000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1774282198792000000,1774282258877000000,158918
JVM.totalTimeAtSafepointsMs,1774282198792000000,1774282258877000000,382
JVM.totalBytesAllocated,1774282198792000000,1774282258877000000,4260922848
JVM.maxHeapBytes,1774282198792000000,1774282258877000000,2147483648
JVM.newThreadsCount,1774282198792000000,1774282258877000000,144
JVM.totalTimeToSafepointsMs,1774282198792000000,1774282258877000000,73
JVM.totalCpuTimeMs,1774282198792000000,1774282258877000000,59155
JVM.totalSafepointCount,1774282198792000000,1774282258877000000,369
JVM.totalDirectByteBuffersBytes,1774282198792000000,1774282258877000000,309284052
JVM.usedHeapBytes,1774282198792000000,1774282258877000000,510353984
JVM.GC.collections,1774282198792000000,1774282258877000000,63
JVM.threadCount,1774282198792000000,1774282258877000000,123
JVM.usedNativeBytes,1774282198792000000,1774282258877000000,393586376
JVM.maxThreadCount,1774282198792000000,1774282258877000000,125
OS.loadAverage,1774282198792000000,1774282258877000000,19.283203125
JVM.GC.collectionTimesMs,1774282198792000000,1774282258877000000,359
writeAction.max.wait.ms,1774282198792000000,1774282258877000000,786
writeAction.count,1774282198792000000,1774282258877000000,49
DiskQueryRelay.taskWaitingTotalTimeUs,1774282198792000000,1774282258877000000,2386559
lexer.XML.size.bytes,1774282198792000000,1774282258877000000,4021
writeAction.wait.ms,1774282198792000000,1774282258877000000,1241
parser.XML.size.bytes,1774282198792000000,1774282258877000000,4021
lexer.XML.time.ns,1774282198792000000,1774282258877000000,3454625
writeAction.median.wait.ms,1774282198792000000,1774282258877000000,1200
DiskQueryRelay.tasksExecuted,1774282198792000000,1774282258877000000,14485
DiskQueryRelay.tasksRequested,1774282198792000000,1774282258877000000,14485
DiskQueryRelay.taskExecutionTotalTimeUs,1774282198792000000,1774282258877000000,885559
parser.XML.time.ns,1774282198792000000,1774282258877000000,7450625
Indexes.allKeys.lookups,1774282198792000000,1774282258877000000,8
IndexesFlusher.totalFlushesRetried,1774282198792000000,1774282258877000000,0
