# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedHeapBytes,1774282058545000000,1774282118555000000,537919488
JVM.GC.collectionTimesMs,1774282058545000000,1774282118555000000,537
JVM.newThreadsCount,1774282058545000000,1774282118555000000,148
JVM.totalSafepointCount,1774282058545000000,1774282118555000000,431
JVM.totalDirectByteBuffersBytes,1774282058545000000,1774282118555000000,379568960
JVM.usedNativeBytes,1774282058545000000,1774282118555000000,494604128
JVM.GC.collections,1774282058545000000,1774282118555000000,78
JVM.totalTimeToSafepointsMs,1774282058545000000,1774282118555000000,130
JVM.totalCpuTimeMs,1774282058545000000,1774282118555000000,72196
OS.loadAverage,1774282058545000000,1774282118555000000,16.7734375
JVM.totalBytesAllocated,1774282058545000000,1774282118555000000,5300752976
JVM.totalTimeAtSafepointsMs,1774282058545000000,1774282118555000000,566
JVM.maxThreadCount,1774282058545000000,1774282118555000000,127
JVM.maxHeapBytes,1774282058545000000,1774282118555000000,2147483648
JVM.threadCount,1774282058545000000,1774282118555000000,127
VFS.contentStorage.recordsRead,1774282058545000000,1774282118555000000,1293
FileNameCache.totalMisses,1774282058545000000,1774282118555000000,477696
FileNameCache.queries,1774282058545000000,1774282118555000000,5087168
VFS.invertedFileNameIndex.requests,1774282058545000000,1774282118555000000,4
VFS.fileByIdCache.misses,1774282058545000000,1774282118555000000,436540
VFS.contentStorage.recordsStoredSize,1774282058545000000,1774282118555000000,0
VFS.contentStorage.recordsReadDecompressed,1774282058545000000,1774282118555000000,233
VFS.contentStorage.recordsDecompressionTimeUs,1774282058545000000,1774282118555000000,12669
VFS.contentStorage.recordsStored,1774282058545000000,1774282118555000000,0
VFS.contentStorage.recordsUncompressedSize,1774282058545000000,1774282118555000000,0
VFS.contentStorage.recordsDeduplicated,1774282058545000000,1774282118555000000,0
VFS.fileByIdCache.hits,1774282058545000000,1774282118555000000,4
VFS.contentStorage.recordsStoredCompressed,1774282058545000000,1774282118555000000,0
VFS.fileChildByName,1774282058545000000,1774282118555000000,212837
VFS.contentStorage.recordsReadSize,1774282058545000000,1774282118555000000,13685880
Indexing.cache.totalCacheMisses,1774282058545000000,1774282118555000000,38186
Indexing.cache.totalCacheAccesses,1774282058545000000,1774282118555000000,260194
Indexing.writer_2.totalTimeSpentWritingMs,1774282058545000000,1774282118555000000,113
Indexes.stubs.lookupDurationAvgMs,1774282058545000000,1774282118555000000,0.15424164524421594
Indexing.writer_3.totalTimeSpentWritingMs,1774282058545000000,1774282118555000000,9
Indexes.allKeys.lookupDurationMaxMs,1774282058545000000,1774282118555000000,2.0
Indexing.writesQueuedMin,1774282058545000000,1774282118555000000,0
Indexes.stubs.lookupDuration90PMs,1774282058545000000,1774282118555000000,0.0
Indexes.entries.lookups,1774282058545000000,1774282118555000000,2402
Indexing.cache.totalCacheEvicted,1774282058545000000,1774282118555000000,38186
Indexes.stubs.lookupDurationMaxMs,1774282058545000000,1774282118555000000,51.0
Indexing.totalTimeIndexersSleptMs,1774282058545000000,1774282118555000000,0
IndexesFlusher.totalFlushesRetried,1774282058545000000,1774282118555000000,3
Indexes.allKeys.lookupDurationAvgMs,1774282058545000000,1774282118555000000,1.5
Indexes.entries.lookupDurationAvgMs,1774282058545000000,1774282118555000000,0.050374687760199835
Indexes.allKeys.lookupDuration90PMs,1774282058545000000,1774282118555000000,2.0
Indexing.writer_1.totalTimeSpentWritingMs,1774282058545000000,1774282118555000000,2
Indexing.writesQueuedAvg,1774282058545000000,1774282118555000000,0.0
IndexesFlusher.totalFlushingTimeUs,1774282058545000000,1774282118555000000,590709
Indexing.writesQueuedMax,1774282058545000000,1774282118555000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1774282058545000000,1774282118555000000,137
IndexesFlusher.totalContentionQuotaSpent,1774282058545000000,1774282118555000000,93
IndexesFlusher.totalFlushes,1774282058545000000,1774282118555000000,60
Indexes.entries.lookupDurationMaxMs,1774282058545000000,1774282118555000000,19.0
Indexes.stubs.lookups,1774282058545000000,1774282118555000000,2719
Indexes.entries.lookupDuration90PMs,1774282058545000000,1774282118555000000,0.0
Indexes.allKeys.lookups,1774282058545000000,1774282118555000000,4
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1774282058545000000,1774282118555000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1774282058545000000,1774282118555000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1774282058545000000,1774282118555000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1774282058545000000,1774282118555000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1774282058545000000,1774282118555000000,0
compiler.ArtifactManagerBridge.commit.ms,1774282058545000000,1774282118555000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1774282058545000000,1774282118555000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1774282058545000000,1774282118555000000,2
compiler.ArtifactManagerBridge.initBridges.ms,1774282058545000000,1774282118555000000,1
parser.JAVA.size.bytes,1774282058545000000,1774282118555000000,40510
lexer.JAVA.size.bytes,1774282058545000000,1774282118555000000,40510
lexer.JAVA.time.ns,1774282058545000000,1774282118555000000,2892249
parser.XML.time.ns,1774282058545000000,1774282118555000000,4886208
writeAction.wait.ms,1774282058545000000,1774282118555000000,1048
DiskQueryRelay.taskWaitingTotalTimeUs,1774282058545000000,1774282118555000000,2561467
DiskQueryRelay.tasksExecuted,1774282058545000000,1774282118555000000,17263
lexer.XML.time.ns,1774282058545000000,1774282118555000000,11118042
