# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationMaxMs,1774321233648000000,1774321293654000000,14.0
Indexing.writesQueuedMax,1774321233648000000,1774321293654000000,4
Indexes.entries.lookups,1774321233648000000,1774321293654000000,2336
Indexes.stubs.lookups,1774321233648000000,1774321293654000000,2934
Indexes.entries.lookupDurationAvgMs,1774321233648000000,1774321293654000000,0.0547945205479452
Indexes.stubs.lookupDuration90PMs,1774321233648000000,1774321293654000000,1.0
IndexesFlusher.totalFlushesRetried,1774321233648000000,1774321293654000000,1
Indexing.cache.totalCacheEvicted,1774321233648000000,1774321293654000000,46616
Indexing.writer_3.totalTimeSpentWritingMs,1774321233648000000,1774321293654000000,12
Indexes.stubs.lookupDurationMaxMs,1774321233648000000,1774321293654000000,28.0
Indexing.writesQueuedMin,1774321233648000000,1774321293654000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1774321233648000000,1774321293654000000,112
Indexing.writer_0.totalTimeSpentWritingMs,1774321233648000000,1774321293654000000,218
Indexes.allKeys.lookups,1774321233648000000,1774321293654000000,18
Indexes.entries.lookupDuration90PMs,1774321233648000000,1774321293654000000,0.0
Indexing.writesQueuedAvg,1774321233648000000,1774321293654000000,0.037383177570093455
IndexesFlusher.totalFlushingTimeUs,1774321233648000000,1774321293654000000,901850
Indexing.cache.totalCacheAccesses,1774321233648000000,1774321293654000000,291763
Indexes.allKeys.lookupDurationAvgMs,1774321233648000000,1774321293654000000,21.72222222222222
Indexes.allKeys.lookupDuration90PMs,1774321233648000000,1774321293654000000,174.0
Indexing.totalTimeIndexersSleptMs,1774321233648000000,1774321293654000000,0
Indexing.cache.totalCacheMisses,1774321233648000000,1774321293654000000,46616
Indexes.stubs.lookupDurationAvgMs,1774321233648000000,1774321293654000000,0.18522301668369084
Indexes.allKeys.lookupDurationMaxMs,1774321233648000000,1774321293654000000,207.0
IndexesFlusher.totalFlushes,1774321233648000000,1774321293654000000,81
IndexesFlusher.totalContentionQuotaSpent,1774321233648000000,1774321293654000000,18
Indexing.writer_1.totalTimeSpentWritingMs,1774321233648000000,1774321293654000000,12
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1774321233648000000,1774321293654000000,8209885
FilePageCacheLockFree.housekeeperTimeSpentMs,1774321233648000000,1774321293654000000,0
