# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.module.iml.entities.serializer.load.entities.ms,1774280874809000000,1774280934943000000,98
workspaceModel.moduleBridge.before.changed.ms,1774280874809000000,1774280934943000000,0
workspaceModel.do.save.caches.ms,1774280874809000000,1774280934943000000,281
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1774280874809000000,1774280934943000000,0
jps.save.changed.project.entities.ms,1774280874809000000,1774280934943000000,0
workspaceModel.global.apply.state.to.project.ms,1774280874809000000,1774280934943000000,55
workspaceModel.orphan.listener.update.ms,1774280874809000000,1774280934943000000,8
jps.facet.change.listener.process.change.events.ms,1774280874809000000,1774280934943000000,4
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1774280874809000000,1774280934943000000,2
jps.save.global.entities.ms,1774280874809000000,1774280934943000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1774280874809000000,1774280934943000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1774280874809000000,1774280934943000000,88
workspaceModel.moduleBridge.update.option.ms,1774280874809000000,1774280934943000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774280874809000000,1774280934943000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774280874809000000,1774280934943000000,17
jps.load.project.to.empty.storage.ms,1774280874809000000,1774280934943000000,114
workspaceModel.mutableEntityStorage.remove.entity.ms,1774280874809000000,1774280934943000000,0
jps.artifact.entities.serializer.load.entities.ms,1774280874809000000,1774280934943000000,1
jps.apply.loaded.storage.ms,1774280874809000000,1774280934943000000,9
jps.facet.change.listener.init.bridge.ms,1774280874809000000,1774280934943000000,0
jps.load.initial.state.ms,1774280874809000000,1774280934943000000,56
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774280874809000000,1774280934943000000,186
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1774280874809000000,1774280934943000000,0
workspaceModel.load.cache.from.file.ms,1774280874809000000,1774280934943000000,756
jps.module.iml.entities.serializer.save.entities.ms,1774280874809000000,1774280934943000000,0
jps.reload.project.entities.ms,1774280874809000000,1774280934943000000,0
jps.library.entities.serializer.load.entities.ms,1774280874809000000,1774280934943000000,13
jps.global.handle.before.change.events.ms,1774280874809000000,1774280934943000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774280874809000000,1774280934943000000,16
jps.facet.change.listener.before.change.events.ms,1774280874809000000,1774280934943000000,0
workspaceModel.load.cache.metadata.from.file.ms,1774280874809000000,1774280934943000000,36
workspaceModel.moduleBridge.facet.initialization.ms,1774280874809000000,1774280934943000000,1
workspaceModel.sync.entities.ms,1774280874809000000,1774280934943000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1774280874809000000,1774280934943000000,2540
workspaceModel.global.updates.count,1774280874809000000,1774280934943000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1774280874809000000,1774280934943000000,43
workspaceModel.mutableEntityStorage.put.entity.ms,1774280874809000000,1774280934943000000,12
workspaceModel.moduleManagerBridge.get.modules.ms,1774280874809000000,1774280934943000000,0
jps.global.initialize.library.bridges.ms,1774280874809000000,1774280934943000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774280874809000000,1774280934943000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1774280874809000000,1774280934943000000,2
jps.artifact.entities.serializer.save.entities.ms,1774280874809000000,1774280934943000000,0
jps.global.get.library.by.name.ms,1774280874809000000,1774280934943000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1774280874809000000,1774280934943000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1774280874809000000,1774280934943000000,0
jps.storage.jps.conf.reader.load.component.ms,1774280874809000000,1774280934943000000,11
jps.project.serializers.save.ms,1774280874809000000,1774280934943000000,0
jps.project.serializers.load.ms,1774280874809000000,1774280934943000000,71
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774280874809000000,1774280934943000000,0
jps.global.initialize.library.bridges.after.loading.ms,1774280874809000000,1774280934943000000,25
workspaceModel.save.cache.to.file.ms,1774280874809000000,1774280934943000000,263
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774280874809000000,1774280934943000000,0
jps.global.get.library.ms,1774280874809000000,1774280934943000000,0
workspaceModel.mutableEntityStorage.entities.ms,1774280874809000000,1774280934943000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1774280874809000000,1774280934943000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1774280874809000000,1774280934943000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1774280874809000000,1774280934943000000,0
jps.app.storage.content.reader.load.component.ms,1774280874809000000,1774280934943000000,5
workspaceModel.mutableEntityStorage.instances.count,1774280874809000000,1774280934943000000,91
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774280874809000000,1774280934943000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1774280874809000000,1774280934943000000,6
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774280874809000000,1774280934943000000,2
workspaceModel.mutableEntityStorage.collect.changes.ms,1774280874809000000,1774280934943000000,0
workspaceModel.global.updates.ms,1774280874809000000,1774280934943000000,8
workspaceModel.mutableEntityStorage.modify.entity.ms,1774280874809000000,1774280934943000000,3
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1774280874809000000,1774280934943000000,0
jps.library.entities.serializer.save.entities.ms,1774280874809000000,1774280934943000000,0
jps.global.get.libraries.ms,1774280874809000000,1774280934943000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774280874809000000,1774280934943000000,1
jps.global.handle.changed.events.ms,1774280874809000000,1774280934943000000,0
JVM.totalTimeToSafepointsMs,1774280874809000000,1774280934943000000,98
JVM.totalBytesAllocated,1774280874809000000,1774280934943000000,3725022240
JVM.newThreadsCount,1774280874809000000,1774280934943000000,142
JVM.usedHeapBytes,1774280874809000000,1774280934943000000,403562008
JVM.totalCpuTimeMs,1774280874809000000,1774280934943000000,47612
JVM.maxThreadCount,1774280874809000000,1774280934943000000,118
JVM.totalDirectByteBuffersBytes,1774280874809000000,1774280934943000000,306161436
JVM.GC.collections,1774280874809000000,1774280934943000000,56
JVM.totalSafepointCount,1774280874809000000,1774280934943000000,262
JVM.threadCount,1774280874809000000,1774280934943000000,114
JVM.totalTimeAtSafepointsMs,1774280874809000000,1774280934943000000,441
JVM.usedNativeBytes,1774280874809000000,1774280934943000000,351830208
OS.loadAverage,1774280874809000000,1774280934943000000,29.8095703125
JVM.maxHeapBytes,1774280874809000000,1774280934943000000,2147483648
JVM.GC.collectionTimesMs,1774280874809000000,1774280934943000000,412
Indexing.writer_0.totalTimeSpentWritingMs,1774280874809000000,1774280934943000000,111
Indexes.stubs.lookups,1774280874809000000,1774280934943000000,84
IndexesFlusher.totalFlushesRetried,1774280874809000000,1774280934943000000,0
Indexes.entries.lookupDuration90PMs,1774280874809000000,1774280934943000000,0.0
Indexes.stubs.lookupDurationMaxMs,1774280874809000000,1774280934943000000,0.0
Indexing.totalTimeIndexersSleptMs,1774280874809000000,1774280934943000000,0
Indexing.cache.totalCacheEvicted,1774280874809000000,1774280934943000000,34196
Indexes.allKeys.lookups,1774280874809000000,1774280934943000000,4
Indexes.allKeys.lookupDurationAvgMs,1774280874809000000,1774280934943000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1774280874809000000,1774280934943000000,9
Indexing.writesQueuedMin,1774280874809000000,1774280934943000000,9223372036854775807
Indexes.allKeys.lookupDurationMaxMs,1774280874809000000,1774280934943000000,0.0
Indexing.cache.totalCacheMisses,1774280874809000000,1774280934943000000,34196
Indexes.allKeys.lookupDuration90PMs,1774280874809000000,1774280934943000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1774280874809000000,1774280934943000000,121
IndexesFlusher.totalFlushes,1774280874809000000,1774280934943000000,107
Indexing.writesQueuedMax,1774280874809000000,1774280934943000000,0
Indexes.entries.lookups,1774280874809000000,1774280934943000000,16
IndexesFlusher.totalFlushingTimeUs,1774280874809000000,1774280934943000000,566632
IndexesFlusher.totalContentionQuotaSpent,1774280874809000000,1774280934943000000,0
Indexes.entries.lookupDurationMaxMs,1774280874809000000,1774280934943000000,0.0
Indexes.stubs.lookupDurationAvgMs,1774280874809000000,1774280934943000000,0.0
Indexes.stubs.lookupDuration90PMs,1774280874809000000,1774280934943000000,0.0
Indexes.entries.lookupDurationAvgMs,1774280874809000000,1774280934943000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1774280874809000000,1774280934943000000,3
Indexing.cache.totalCacheAccesses,1774280874809000000,1774280934943000000,252956
workspaceModel.workspaceFileIndexData.markDirty.ms,1774280874809000000,1774280934943000000,0
workspaceModel.full.replace.project.model.ms,1774280874809000000,1774280934943000000,2
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1774280874809000000,1774280934943000000,413
workspaceModel.workspaceFileIndexData.instances.count,1774280874809000000,1774280934943000000,2
workspaceModel.cachedValueWithParameters.from.cache.count,1774280874809000000,1774280934943000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774280874809000000,1774280934943000000,44
workspaceModel.check.recursive.update.ms,1774280874809000000,1774280934943000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1774280874809000000,1774280934943000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1774280874809000000,1774280934943000000,2485
workspaceModel.cachedValueWithParameters.calculated.count,1774280874809000000,1774280934943000000,0
workspaceModel.updates.precise.ms,1774280874809000000,1774280934943000000,11
