# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.from.cache.count,1774281846383000000,1774281906471000000,8709
workspaceModel.loading.total.ms,1774281846383000000,1774281906471000000,320
workspaceModel.updates.precise.ms,1774281846383000000,1774281906471000000,17
workspaceModel.entityStorageSnapshotImpl.instances.count,1774281846383000000,1774281906471000000,48
workspaceModel.initializing.ms,1774281846383000000,1774281906471000000,4
workspaceModel.pre.handlers.ms,1774281846383000000,1774281906471000000,0
workspaceModel.workspaceFileIndexData.instances.count,1774281846383000000,1774281906471000000,2
workspaceModel.cachedValue.calculated.count,1774281846383000000,1774281906471000000,510
workspaceModel.on.before.changed.ms,1774281846383000000,1774281906471000000,27
workspaceModel.cachedValue.clear.count,1774281846383000000,1774281906471000000,3
workspaceModel.cachedValue.total.get.count,1774281846383000000,1774281906471000000,9219
workspaceModel.loading.from.cache.ms,1774281846383000000,1774281906471000000,307
workspaceModel.replace.project.model.ms,1774281846383000000,1774281906471000000,5
workspaceModel.workspaceFileIndexData.getPackageName.ms,1774281846383000000,1774281906471000000,31
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1774281846383000000,1774281906471000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1774281846383000000,1774281906471000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1774281846383000000,1774281906471000000,0
workspaceModel.updates.ms,1774281846383000000,1774281906471000000,67
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1774281846383000000,1774281906471000000,1646
workspaceModel.updates.count,1774281846383000000,1774281906471000000,13
workspaceModel.full.replace.project.model.ms,1774281846383000000,1774281906471000000,3
workspaceModel.to.snapshot.ms,1774281846383000000,1774281906471000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1774281846383000000,1774281906471000000,2
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1774281846383000000,1774281906471000000,262
workspaceModel.workspaceFileIndexData.init.ms,1774281846383000000,1774281906471000000,142
workspaceModel.check.recursive.update.ms,1774281846383000000,1774281906471000000,0
workspaceModel.cachedValueWithParameters.clear.count,1774281846383000000,1774281906471000000,0
workspaceModel.init.bridges.ms,1774281846383000000,1774281906471000000,4
workspaceModel.on.changed.ms,1774281846383000000,1774281906471000000,17
workspaceModel.update.unloaded.entities.ms,1774281846383000000,1774281906471000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1774281846383000000,1774281906471000000,0
workspaceModel.collect.changes.ms,1774281846383000000,1774281906471000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1774281846383000000,1774281906471000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1774281846383000000,1774281906471000000,24
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1774281846383000000,1774281906471000000,79
workspaceModel.workspaceFileIndexData.processFileSets.ms,1774281846383000000,1774281906471000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1774281846383000000,1774281906471000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1774281846383000000,1774281906471000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1774281846383000000,1774281906471000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1774281846383000000,1774281906471000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1774281846383000000,1774281906471000000,3
compiler.ArtifactManagerBridge.commit.ms,1774281846383000000,1774281906471000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1774281846383000000,1774281906471000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1774281846383000000,1774281906471000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1774281846383000000,1774281906471000000,0
jps.library.entities.serializer.load.entities.ms,1774281846383000000,1774281906471000000,18
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774281846383000000,1774281906471000000,0
jps.global.initialize.library.bridges.after.loading.ms,1774281846383000000,1774281906471000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1774281846383000000,1774281906471000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774281846383000000,1774281906471000000,135
jps.facet.change.listener.init.bridge.ms,1774281846383000000,1774281906471000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1774281846383000000,1774281906471000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774281846383000000,1774281906471000000,15
jps.save.changed.project.entities.ms,1774281846383000000,1774281906471000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1774281846383000000,1774281906471000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1774281846383000000,1774281906471000000,7
workspaceModel.load.cache.metadata.from.file.ms,1774281846383000000,1774281906471000000,31
