# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedNativeBytes,1774280783576000000,1774280843688000000,359463192
JVM.totalSafepointCount,1774280783576000000,1774280843688000000,313
JVM.totalDirectByteBuffersBytes,1774280783576000000,1774280843688000000,300837869
JVM.usedHeapBytes,1774280783576000000,1774280843688000000,394693184
JVM.totalCpuTimeMs,1774280783576000000,1774280843688000000,50670
JVM.threadCount,1774280783576000000,1774280843688000000,107
JVM.totalBytesAllocated,1774280783576000000,1774280843688000000,4119325040
JVM.maxThreadCount,1774280783576000000,1774280843688000000,111
JVM.GC.collectionTimesMs,1774280783576000000,1774280843688000000,466
JVM.totalTimeToSafepointsMs,1774280783576000000,1774280843688000000,154
JVM.newThreadsCount,1774280783576000000,1774280843688000000,137
JVM.maxHeapBytes,1774280783576000000,1774280843688000000,2147483648
JVM.GC.collections,1774280783576000000,1774280843688000000,48
JVM.totalTimeAtSafepointsMs,1774280783576000000,1774280843688000000,490
OS.loadAverage,1774280783576000000,1774280843688000000,32.087890625
parser.XML.size.bytes,1774280783576000000,1774280843688000000,8042
DiskQueryRelay.taskWaitingTotalTimeUs,1774280783576000000,1774280843688000000,2954504
parser.XML.time.ns,1774280783576000000,1774280843688000000,14773667
lexer.XML.time.ns,1774280783576000000,1774280843688000000,830334
DiskQueryRelay.tasksExecuted,1774280783576000000,1774280843688000000,14662
lexer.XML.size.bytes,1774280783576000000,1774280843688000000,8042
writeAction.median.wait.ms,1774280783576000000,1774280843688000000,1600
DiskQueryRelay.tasksRequested,1774280783576000000,1774280843688000000,14662
DiskQueryRelay.taskExecutionTotalTimeUs,1774280783576000000,1774280843688000000,1007288
writeAction.max.wait.ms,1774280783576000000,1774280843688000000,1208
writeAction.count,1774280783576000000,1774280843688000000,43
writeAction.wait.ms,1774280783576000000,1774280843688000000,1759
FilePageCacheLockFree.totalPagesHandedOver,1774280783576000000,1774280843688000000,0
FilePageCache.pageLoads,1774280783576000000,1774280843688000000,289
FilePageCacheLockFree.totalBytesRead,1774280783576000000,1774280843688000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1774280783576000000,1774280843688000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1774280783576000000,1774280843688000000,40349132
FilePageCacheLockFree.totalPagesRequested,1774280783576000000,1774280843688000000,0
StorageLockContext.competingThreads.avg,1774280783576000000,1774280843688000000,0.0
DirectByteBufferAllocator.disposed,1774280783576000000,1774280843688000000,0
FilePageCacheLockFree.totalBytesWritten,1774280783576000000,1774280843688000000,0
