# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskExecutionTotalTimeUs,1774281117084000000,1774281177092000000,427554
parser.XML.size.bytes,1774281117084000000,1774281177092000000,12063
lexer.XML.size.bytes,1774281117084000000,1774281177092000000,12063
writeAction.wait.ms,1774281117084000000,1774281177092000000,1365
parser.XML.time.ns,1774281117084000000,1774281177092000000,8560625
writeAction.median.wait.ms,1774281117084000000,1774281177092000000,1300
DiskQueryRelay.tasksExecuted,1774281117084000000,1774281177092000000,12653
DiskQueryRelay.taskWaitingTotalTimeUs,1774281117084000000,1774281177092000000,1641351
writeAction.max.wait.ms,1774281117084000000,1774281177092000000,1097
writeAction.count,1774281117084000000,1774281177092000000,45
DiskQueryRelay.tasksRequested,1774281117084000000,1774281177092000000,12654
lexer.XML.time.ns,1774281117084000000,1774281177092000000,1453333
cacheStateStorage.set.duration,1774281117084000000,1774281177092000000,15
cacheStateStorage.get.duration,1774281117084000000,1774281177092000000,216
cacheStateStorage.set.counter,1774281117084000000,1774281177092000000,6
cacheStateStorage.get.counter,1774281117084000000,1774281177092000000,143
AWTEventQueue.dispatchTimeAvgNs,1774281117084000000,1774281177092000000,818307.16058339
FlushQueue.executionTime90PNs,1774281117084000000,1774281177092000000,239615
FlushQueue.waitingTime90PNs,1774281117084000000,1774281177092000000,209715199
WriteAction.executionsCount,1774281117084000000,1774281177092000000,45
AWTEventQueue.dispatchTimeTotalNS,1774281117084000000,1774281177092000000,10828147945
FlushQueue.waitingTimeMaxNs,1774281117084000000,1774281177092000000,1635778559
FlushQueue.tasksExecuted,1774281117084000000,1774281177092000000,6332
FlushQueue.executionTimeAvgNs,1774281117084000000,1774281177092000000,2000503.969046115
FlushQueue.waitingTimeAvgNs,1774281117084000000,1774281177092000000,7.760776300821225E7
FlushQueue.queueSizeAvg,1774281117084000000,1774281177092000000,30.2706885660139
FlushQueue.executionTimeMaxNs,1774281117084000000,1774281177092000000,7952400383
AWTEventQueue.dispatchTimeMaxNs,1774281117084000000,1774281177092000000,1107296255
NonBlockingReadAction.failedExecutionTimeUs,1774281117084000000,1774281177092000000,168576
NonBlockingReadAction.finalizedExecutionsCount,1774281117084000000,1774281177092000000,707
AWTEventQueue.dispatchTime90PNs,1774281117084000000,1774281177092000000,589823
NonBlockingReadAction.failedExecutionsCount,1774281117084000000,1774281177092000000,8
ReadAction.executionsCount,1774281117084000000,1774281177092000000,638242
FlushQueue.queueSizeMax,1774281117084000000,1774281177092000000,212
AWTEventQueue.eventsDispatched,1774281117084000000,1774281177092000000,13233
FlushQueue.queueSize90P,1774281117084000000,1774281177092000000,108
NonBlockingReadAction.finalizedExecutionTimeUs,1774281117084000000,1774281177092000000,1411157
workspaceModel.entityStorageSnapshotImpl.instances.count,1774281117084000000,1774281177092000000,48
workspaceModel.on.changed.ms,1774281117084000000,1774281177092000000,16
workspaceModel.updates.precise.ms,1774281117084000000,1774281177092000000,34
workspaceModel.workspaceFileIndexData.init.ms,1774281117084000000,1774281177092000000,104
workspaceModel.cachedValueWithParameters.calculated.count,1774281117084000000,1774281177092000000,0
workspaceModel.workspaceFileIndexData.instances.count,1774281117084000000,1774281177092000000,2
workspaceModel.replace.project.model.ms,1774281117084000000,1774281177092000000,4
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1774281117084000000,1774281177092000000,2
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1774281117084000000,1774281177092000000,0
workspaceModel.cachedValue.clear.count,1774281117084000000,1774281177092000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1774281117084000000,1774281177092000000,0
workspaceModel.full.replace.project.model.ms,1774281117084000000,1774281177092000000,3
workspaceModel.cachedValueWithParameters.clear.count,1774281117084000000,1774281177092000000,0
workspaceModel.update.unloaded.entities.ms,1774281117084000000,1774281177092000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1774281117084000000,1774281177092000000,0
workspaceModel.loading.total.ms,1774281117084000000,1774281177092000000,217
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1774281117084000000,1774281177092000000,194
workspaceModel.check.recursive.update.ms,1774281117084000000,1774281177092000000,0
workspaceModel.on.before.changed.ms,1774281117084000000,1774281177092000000,15
workspaceModel.cachedValue.from.cache.count,1774281117084000000,1774281177092000000,5593
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1774281117084000000,1774281177092000000,146
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1774281117084000000,1774281177092000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1774281117084000000,1774281177092000000,0
workspaceModel.to.snapshot.ms,1774281117084000000,1774281177092000000,0
workspaceModel.pre.handlers.ms,1774281117084000000,1774281177092000000,0
workspaceModel.collect.changes.ms,1774281117084000000,1774281177092000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1774281117084000000,1774281177092000000,1591
workspaceModel.cachedValue.total.get.count,1774281117084000000,1774281177092000000,5994
workspaceModel.cachedValue.calculated.count,1774281117084000000,1774281177092000000,401
workspaceModel.updates.count,1774281117084000000,1774281177092000000,13
workspaceModel.workspaceFileIndexData.getPackageName.ms,1774281117084000000,1774281177092000000,9
workspaceModel.updates.ms,1774281117084000000,1774281177092000000,65
workspaceModel.init.bridges.ms,1774281117084000000,1774281177092000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1774281117084000000,1774281177092000000,0
workspaceModel.initializing.ms,1774281117084000000,1774281177092000000,1
workspaceModel.loading.from.cache.ms,1774281117084000000,1774281177092000000,212
VFS.contentStorage.recordsRead,1774281117084000000,1774281177092000000,30
VFS.contentStorage.recordsDeduplicated,1774281117084000000,1774281177092000000,0
FileNameCache.totalMisses,1774281117084000000,1774281177092000000,733184
VFS.contentStorage.recordsStoredSize,1774281117084000000,1774281177092000000,7887
VFS.invertedFileNameIndex.requests,1774281117084000000,1774281177092000000,2
VFS.fileChildByName,1774281117084000000,1774281177092000000,202559
VFS.fileByIdCache.misses,1774281117084000000,1774281177092000000,428566
VFS.fileByIdCache.hits,1774281117084000000,1774281177092000000,4
VFS.contentStorage.recordsReadSize,1774281117084000000,1774281177092000000,55152
VFS.contentStorage.recordsDecompressionTimeUs,1774281117084000000,1774281177092000000,0
VFS.contentStorage.recordsStored,1774281117084000000,1774281177092000000,1
VFS.contentStorage.recordsUncompressedSize,1774281117084000000,1774281177092000000,48370
VFS.contentStorage.recordsReadDecompressed,1774281117084000000,1774281177092000000,0
FileNameCache.queries,1774281117084000000,1774281177092000000,8909952
VFS.contentStorage.recordsStoredCompressed,1774281117084000000,1774281177092000000,1
compiler.ArtifactManagerBridge.dropMappings.ms,1774281117084000000,1774281177092000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1774281117084000000,1774281177092000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1774281117084000000,1774281177092000000,1
compiler.ArtifactManagerBridge.addArtifact.ms,1774281117084000000,1774281177092000000,0
compiler.ArtifactManagerBridge.commit.ms,1774281117084000000,1774281177092000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1774281117084000000,1774281177092000000,2
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1774281117084000000,1774281177092000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1774281117084000000,1774281177092000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1774281117084000000,1774281177092000000,0
IndexesFlusher.totalContentionQuotaSpent,1774281117084000000,1774281177092000000,0
IndexesFlusher.totalFlushingTimeUs,1774281117084000000,1774281177092000000,568454
Indexing.cache.totalCacheEvicted,1774281117084000000,1774281177092000000,34245
IndexesFlusher.totalFlushesRetried,1774281117084000000,1774281177092000000,0
Indexing.totalTimeIndexersSleptMs,1774281117084000000,1774281177092000000,0
IndexesFlusher.totalFlushes,1774281117084000000,1774281177092000000,57
Indexes.stubs.lookups,1774281117084000000,1774281177092000000,188
Indexing.writer_1.totalTimeSpentWritingMs,1774281117084000000,1774281177092000000,4
Indexes.entries.lookupDuration90PMs,1774281117084000000,1774281177092000000,2.0
Indexing.writer_0.totalTimeSpentWritingMs,1774281117084000000,1774281177092000000,97
Indexes.allKeys.lookups,1774281117084000000,1774281177092000000,9
Indexing.writesQueuedMin,1774281117084000000,1774281177092000000,0
Indexing.writesQueuedMax,1774281117084000000,1774281177092000000,8
Indexing.writer_3.totalTimeSpentWritingMs,1774281117084000000,1774281177092000000,12
Indexes.stubs.lookupDurationMaxMs,1774281117084000000,1774281177092000000,114.0
Indexing.writer_2.totalTimeSpentWritingMs,1774281117084000000,1774281177092000000,94
Indexes.allKeys.lookupDurationAvgMs,1774281117084000000,1774281177092000000,4.444444444444445
Indexes.entries.lookupDurationMaxMs,1774281117084000000,1774281177092000000,16.0
Indexing.cache.totalCacheAccesses,1774281117084000000,1774281177092000000,253060
Indexes.entries.lookupDurationAvgMs,1774281117084000000,1774281177092000000,1.2608695652173914
Indexes.allKeys.lookupDuration90PMs,1774281117084000000,1774281177092000000,9.0
Indexing.writesQueuedAvg,1774281117084000000,1774281177092000000,0.07272727272727272
Indexes.allKeys.lookupDurationMaxMs,1774281117084000000,1774281177092000000,9.0
Indexing.cache.totalCacheMisses,1774281117084000000,1774281177092000000,34248
Indexes.stubs.lookupDuration90PMs,1774281117084000000,1774281177092000000,0.0
Indexes.stubs.lookupDurationAvgMs,1774281117084000000,1774281177092000000,1.3670212765957446
Indexes.entries.lookups,1774281117084000000,1774281177092000000,23
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774281117084000000,1774281177092000000,0
workspaceModel.mutableEntityStorage.instances.count,1774281117084000000,1774281177092000000,94
workspaceModel.moduleBridgeLoader.loading.modules.ms,1774281117084000000,1774281177092000000,2314
workspaceModel.do.save.caches.ms,1774281117084000000,1774281177092000000,486
jps.save.global.entities.ms,1774281117084000000,1774281177092000000,0
