# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1774280160020000000,1774280220129000000,137
cacheStateStorage.set.duration,1774280160020000000,1774280220129000000,15
cacheStateStorage.get.duration,1774280160020000000,1774280220129000000,151
cacheStateStorage.set.counter,1774280160020000000,1774280220129000000,6
workspaceModel.workspaceFileIndexData.getPackageName.ms,1774280160020000000,1774280220129000000,6
workspaceModel.cachedValue.clear.count,1774280160020000000,1774280220129000000,0
workspaceModel.initializing.ms,1774280160020000000,1774280220129000000,2
workspaceModel.collect.changes.ms,1774280160020000000,1774280220129000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1774280160020000000,1774280220129000000,0
workspaceModel.workspaceFileIndexData.init.ms,1774280160020000000,1774280220129000000,114
workspaceModel.full.replace.project.model.ms,1774280160020000000,1774280220129000000,2
workspaceModel.loading.from.cache.ms,1774280160020000000,1774280220129000000,234
workspaceModel.init.bridges.ms,1774280160020000000,1774280220129000000,2
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1774280160020000000,1774280220129000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1774280160020000000,1774280220129000000,728
workspaceModel.cachedValue.calculated.count,1774280160020000000,1774280220129000000,272
workspaceModel.to.snapshot.ms,1774280160020000000,1774280220129000000,1
workspaceModel.on.changed.ms,1774280160020000000,1774280220129000000,20
workspaceModel.cachedValueWithParameters.from.cache.count,1774280160020000000,1774280220129000000,0
workspaceModel.workspaceFileIndexData.instances.count,1774280160020000000,1774280220129000000,2
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1774280160020000000,1774280220129000000,211
workspaceModel.pre.handlers.ms,1774280160020000000,1774280220129000000,3
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1774280160020000000,1774280220129000000,0
workspaceModel.cachedValue.from.cache.count,1774280160020000000,1774280220129000000,4275
workspaceModel.workspaceFileIndexData.markDirty.ms,1774280160020000000,1774280220129000000,0
workspaceModel.cachedValue.total.get.count,1774280160020000000,1774280220129000000,4547
workspaceModel.replace.project.model.ms,1774280160020000000,1774280220129000000,2
workspaceModel.updates.ms,1774280160020000000,1774280220129000000,64
workspaceModel.cachedValueWithParameters.calculated.count,1774280160020000000,1774280220129000000,0
workspaceModel.on.before.changed.ms,1774280160020000000,1774280220129000000,16
workspaceModel.update.unloaded.entities.ms,1774280160020000000,1774280220129000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1774280160020000000,1774280220129000000,94
workspaceModel.loading.total.ms,1774280160020000000,1774280220129000000,241
workspaceModel.updates.precise.ms,1774280160020000000,1774280220129000000,23
workspaceModel.updates.count,1774280160020000000,1774280220129000000,13
workspaceModel.cachedValueWithParameters.total.get.count,1774280160020000000,1774280220129000000,0
workspaceModel.check.recursive.update.ms,1774280160020000000,1774280220129000000,2
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1774280160020000000,1774280220129000000,0
workspaceModel.cachedValueWithParameters.clear.count,1774280160020000000,1774280220129000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774280160020000000,1774280220129000000,48
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1774280160020000000,1774280220129000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1774280160020000000,1774280220129000000,0
