# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxThreadCount,1774322339864000000,1774322400052000000,135
JVM.usedNativeBytes,1774322339864000000,1774322400052000000,367916608
JVM.GC.collectionTimesMs,1774322339864000000,1774322400052000000,266
JVM.totalBytesAllocated,1774322339864000000,1774322400052000000,3461953448
JVM.totalDirectByteBuffersBytes,1774322339864000000,1774322400052000000,317687257
JVM.usedHeapBytes,1774322339864000000,1774322400052000000,516187440
JVM.totalTimeToSafepointsMs,1774322339864000000,1774322400052000000,174
JVM.newThreadsCount,1774322339864000000,1774322400052000000,147
JVM.totalSafepointCount,1774322339864000000,1774322400052000000,257
JVM.totalCpuTimeMs,1774322339864000000,1774322400052000000,45596
JVM.maxHeapBytes,1774322339864000000,1774322400052000000,2147483648
JVM.totalTimeAtSafepointsMs,1774322339864000000,1774322400052000000,283
JVM.threadCount,1774322339864000000,1774322400052000000,133
JVM.GC.collections,1774322339864000000,1774322400052000000,47
OS.loadAverage,1774322339864000000,1774322400052000000,12.1474609375
cacheStateStorage.get.counter,1774322339864000000,1774322400052000000,79
cacheStateStorage.set.counter,1774322339864000000,1774322400052000000,6
cacheStateStorage.get.duration,1774322339864000000,1774322400052000000,119
cacheStateStorage.set.duration,1774322339864000000,1774322400052000000,6
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1774322339864000000,1774322400052000000,0
compiler.ArtifactManagerBridge.commit.ms,1774322339864000000,1774322400052000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1774322339864000000,1774322400052000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1774322339864000000,1774322400052000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1774322339864000000,1774322400052000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1774322339864000000,1774322400052000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1774322339864000000,1774322400052000000,2
compiler.ArtifactManagerBridge.initBridges.ms,1774322339864000000,1774322400052000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1774322339864000000,1774322400052000000,0
FlushQueue.executionTimeMaxNs,1774322339864000000,1774322400052000000,0
NonBlockingReadAction.finalizedExecutionsCount,1774322339864000000,1774322400052000000,58
FlushQueue.waitingTimeAvgNs,1774322339864000000,1774322400052000000,0.0
NonBlockingReadAction.failedExecutionsCount,1774322339864000000,1774322400052000000,2
AWTEventQueue.dispatchTime90PNs,1774322339864000000,1774322400052000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1774322339864000000,1774322400052000000,1065800
FlushQueue.tasksExecuted,1774322339864000000,1774322400052000000,0
FlushQueue.queueSize90P,1774322339864000000,1774322400052000000,0
FlushQueue.waitingTime90PNs,1774322339864000000,1774322400052000000,0
AWTEventQueue.dispatchTimeTotalNS,1774322339864000000,1774322400052000000,9587620967
FlushQueue.queueSizeAvg,1774322339864000000,1774322400052000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1774322339864000000,1774322400052000000,0
FlushQueue.queueSizeMax,1774322339864000000,1774322400052000000,0
FlushQueue.waitingTimeMaxNs,1774322339864000000,1774322400052000000,0
NonBlockingReadAction.failedExecutionTimeUs,1774322339864000000,1774322400052000000,6239
ReadAction.executionsCount,1774322339864000000,1774322400052000000,568843
