# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1774322663864000000,1774322723979000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1774322663864000000,1774322723979000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1774322663864000000,1774322723979000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1774322663864000000,1774322723979000000,0
compiler.ArtifactManagerBridge.commit.ms,1774322663864000000,1774322723979000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1774322663864000000,1774322723979000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1774322663864000000,1774322723979000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1774322663864000000,1774322723979000000,11
compiler.ArtifactManagerBridge.initBridges.ms,1774322663864000000,1774322723979000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1774322663864000000,1774322723979000000,154
IndexesFlusher.totalFlushingTimeUs,1774322663864000000,1774322723979000000,924221
Indexing.cache.totalCacheAccesses,1774322663864000000,1774322723979000000,251866
Indexing.writer_3.totalTimeSpentWritingMs,1774322663864000000,1774322723979000000,24
Indexes.entries.lookupDurationAvgMs,1774322663864000000,1774322723979000000,0.0
Indexes.entries.lookups,1774322663864000000,1774322723979000000,6
Indexing.totalTimeIndexersSleptMs,1774322663864000000,1774322723979000000,0
Indexing.writesQueuedMin,1774322663864000000,1774322723979000000,9223372036854775807
IndexesFlusher.totalFlushes,1774322663864000000,1774322723979000000,109
Indexes.stubs.lookupDurationMaxMs,1774322663864000000,1774322723979000000,0.0
Indexing.writesQueuedMax,1774322663864000000,1774322723979000000,0
Indexes.stubs.lookupDuration90PMs,1774322663864000000,1774322723979000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1774322663864000000,1774322723979000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1774322663864000000,1774322723979000000,5
Indexing.cache.totalCacheMisses,1774322663864000000,1774322723979000000,34722
Indexes.allKeys.lookupDurationAvgMs,1774322663864000000,1774322723979000000,0.0
Indexes.entries.lookupDurationMaxMs,1774322663864000000,1774322723979000000,0.0
Indexes.stubs.lookupDurationAvgMs,1774322663864000000,1774322723979000000,0.0
Indexes.stubs.lookups,1774322663864000000,1774322723979000000,0
Indexes.allKeys.lookupDuration90PMs,1774322663864000000,1774322723979000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1774322663864000000,1774322723979000000,162
IndexesFlusher.totalFlushesRetried,1774322663864000000,1774322723979000000,2
Indexes.allKeys.lookups,1774322663864000000,1774322723979000000,2
IndexesFlusher.totalContentionQuotaSpent,1774322663864000000,1774322723979000000,35
Indexing.cache.totalCacheEvicted,1774322663864000000,1774322723979000000,34722
Indexes.entries.lookupDuration90PMs,1774322663864000000,1774322723979000000,0.0
JVM.totalBytesAllocated,1774322663864000000,1774322723979000000,3294425032
JVM.GC.collections,1774322663864000000,1774322723979000000,53
JVM.totalDirectByteBuffersBytes,1774322663864000000,1774322723979000000,307039581
JVM.threadCount,1774322663864000000,1774322723979000000,119
JVM.totalTimeAtSafepointsMs,1774322663864000000,1774322723979000000,391
JVM.newThreadsCount,1774322663864000000,1774322723979000000,135
OS.loadAverage,1774322663864000000,1774322723979000000,18.54150390625
JVM.usedHeapBytes,1774322663864000000,1774322723979000000,387973120
JVM.totalSafepointCount,1774322663864000000,1774322723979000000,267
JVM.GC.collectionTimesMs,1774322663864000000,1774322723979000000,373
JVM.totalTimeToSafepointsMs,1774322663864000000,1774322723979000000,224
JVM.totalCpuTimeMs,1774322663864000000,1774322723979000000,46116
JVM.maxHeapBytes,1774322663864000000,1774322723979000000,2147483648
JVM.usedNativeBytes,1774322663864000000,1774322723979000000,338052312
JVM.maxThreadCount,1774322663864000000,1774322723979000000,123
VFS.contentStorage.recordsDeduplicated,1774322663864000000,1774322723979000000,0
VFS.contentStorage.recordsUncompressedSize,1774322663864000000,1774322723979000000,0
VFS.contentStorage.recordsStoredCompressed,1774322663864000000,1774322723979000000,0
VFS.contentStorage.recordsStoredSize,1774322663864000000,1774322723979000000,0
FileNameCache.queries,1774322663864000000,1774322723979000000,6634560
VFS.contentStorage.recordsReadSize,1774322663864000000,1774322723979000000,54639
VFS.contentStorage.recordsDecompressionTimeUs,1774322663864000000,1774322723979000000,0
VFS.contentStorage.recordsReadDecompressed,1774322663864000000,1774322723979000000,0
VFS.fileByIdCache.hits,1774322663864000000,1774322723979000000,2
VFS.fileByIdCache.misses,1774322663864000000,1774322723979000000,274408
VFS.invertedFileNameIndex.requests,1774322663864000000,1774322723979000000,2
VFS.fileChildByName,1774322663864000000,1774322723979000000,93216
VFS.contentStorage.recordsStored,1774322663864000000,1774322723979000000,0
VFS.contentStorage.recordsRead,1774322663864000000,1774322723979000000,36
FileNameCache.totalMisses,1774322663864000000,1774322723979000000,481280
FilePageCache.pageLoadsAboveSizeThreshold,1774322663864000000,1774322723979000000,0
FilePageCacheLockFree.heapBytesInUse,1774322663864000000,1774322723979000000,0
StreamlinedBlobStorage.recordsAllocated,1774322663864000000,1774322723979000000,549708
FilePageCache.pageFastCacheHits,1774322663864000000,1774322723979000000,58726
FilePageCacheLockFree.totalPagesHandedOver,1774322663864000000,1774322723979000000,0
FilePageCache.capacityInBytes,1774322663864000000,1774322723979000000,503316478
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774322663864000000,1774322723979000000,304103424
FilePageCache.maxRegisteredFiles,1774322663864000000,1774322723979000000,547
StreamlinedBlobStorage.recordsDeleted,1774322663864000000,1774322723979000000,31
